ano,fornecedor,qtd_itens_venda
2020,AstroSupply,889
2020,HorizonDistributors,860
2020,EchoLogistics,637
2020,CosmicConnections,617
2020,SummitSolutions,326
2020,TerraTrade,314
2020,PinnaclePartners,309
2020,NebulaNetworks,307
2020,InfinityImports,307
2020,OceanicOrigins,305
2021,HorizonDistributors,1448
2021,AstroSupply,1412
2021,CosmicConnections,962
2021,EchoLogistics,937
2021,InfinityImports,479
2021,PinnaclePartners,456
2021,NebulaNetworks,455
2021,SummitSolutions,452
2021,OceanicOrigins,445
2021,TerraTrade,432
2022,AstroSupply,1830
2022,HorizonDistributors,1735
2022,CosmicConnections,1314
2022,EchoLogistics,1246
2022,InfinityImports,666
2022,OceanicOrigins,606
2022,PinnaclePartners,599
2022,SummitSolutions,595
2022,TerraTrade,583
2022,NebulaNetworks,529
